index,num,titulo,url,campo,antes,despues,evidencia
16,000017,Master of Orion II: Battle at Antares,juegos/master-of-orion-ii-battle-at-antares-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
17,000018,Diablo,juegos/diablo-bigbox/,mercado,[],"[""España"", ""Europa""]",descripcion: Esta edición física distribuida por Ubi Soft corresponde a una edición europea/española en caja grande || tags: edición española
17,000018,Diablo,juegos/diablo-bigbox/,idioma,[],"[""Español"", ""Inglés""]","incluye: Manual en castellano || incluye: Manual en inglés || tags: manual en castellano || tags: juego en inglés || descripcion: Esta edición física distribuida por Ubi Soft corresponde a una edición europea/española en caja grande, con manuales en castellano y juego en inglés"
17,000018,Diablo,juegos/diablo-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en caja jewel case
18,000019,Hellfire,juegos/hellfire-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en caja grande conserva el enfoque clásico de finales de los noventa para PC || tags: edición española
18,000019,Hellfire,juegos/hellfire-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
19,000020,Diablo II,juegos/diablo-ii-bigbox/,mercado,[],"[""España""]",descripcion: Edición española en caja grande de Diablo II || tags: edición española
19,000020,Diablo II,juegos/diablo-ii-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
20,000021,Diablo II: Lord of Destruction,juegos/diablo-ii-lord-of-destruction-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición física española en caja grande corresponde a la expansión independiente que requiere la versión completa de Diablo II y representa una pieza relevante dentro de la preservación del RPG occidental de comienzos de los años 2000 || tags: edición española
20,000021,Diablo II: Lord of Destruction,juegos/diablo-ii-lord-of-destruction-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
21,000022,Flashback,juegos/flashback-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en Big Box || tags: edición española
21,000022,Flashback,juegos/flashback-bigbox/,idioma,[],"[""Español""]","incluye: Manual en castellano || descripcion: Gold, corresponde a la versión para PC compatibles en disquete de 3,5 pulgadas, con textos de caja y documentación en castellano"
21,000022,Flashback,juegos/flashback-bigbox/,soporte,[],"[""Disquete 3,5\""""]","incluye: Disquete 3,5 Disk 1/2 || incluye: Disquete 3,5 Disk 2/2"
22,000023,Dino Crisis,juegos/dino-crisis-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición física española en caja grande fue distribuida por Virgin Interactive y Capcom || tags: edición española
22,000023,Dino Crisis,juegos/dino-crisis-bigbox/,idioma,[],"[""Español""]","tags: textos en castellano || descripcion: Esta edición física española en caja grande fue distribuida por Virgin Interactive y Capcom, con textos de pantalla en castellano, y representa una pieza relevante dentro del catálogo de conversiones de Capcom para PC de finales de los noventa"
22,000023,Dino Crisis,juegos/dino-crisis-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en caja jewel case
23,000024,Caesar III,juegos/caesar-iii-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en caja grande pertenece a la distribución física de Sierra/Havas Interactive para PC CD-ROM y destaca por presentar el juego completamente localizado al castellano || tags: edición española
23,000024,Caesar III,juegos/caesar-iii-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición española en caja grande pertenece a la distribución física de Sierra/Havas Interactive para PC CD-ROM y destaca por presentar el juego completamente localizado al castellano
23,000024,Caesar III,juegos/caesar-iii-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
24,000025,Faraón,juegos/faraon-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en caja grande corresponde a la distribución de Havas Interactive España y destaca por estar completamente localizada al castellano || tags: edición española
24,000025,Faraón,juegos/faraon-bigbox/,idioma,[],"[""Español""]","tags: juego localizado al castellano || descripcion: Esta edición española en caja grande corresponde a la distribución de Havas Interactive España y destaca por estar completamente localizada al castellano, conservando el enfoque enciclopédico y estratégico característico de los city builders históricos de finales de los años noventa"
24,000025,Faraón,juegos/faraon-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM en caja jewel case
25,000026,Cleopatra: La Reina del Nilo,juegos/cleopatra-la-reina-del-nilo-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box distribuida por Sierra Interactive España incluye doblaje y textos en castellano y requiere la versión completa de Faraón para funcionar || tags: edición española
25,000026,Cleopatra: La Reina del Nilo,juegos/cleopatra-la-reina-del-nilo-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición española en formato Big Box distribuida por Sierra Interactive España incluye doblaje y textos en castellano y requiere la versión completa de Faraón para funcionar
25,000026,Cleopatra: La Reina del Nilo,juegos/cleopatra-la-reina-del-nilo-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
26,000027,Throne of Darkness,juegos/throne-of-darkness-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box incluye textos y contenidos localizados al castellano y representa una de las distribuciones físicas europeas más reconocibles del título || tags: edición española
26,000027,Throne of Darkness,juegos/throne-of-darkness-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición española en formato Big Box incluye textos y contenidos localizados al castellano y representa una de las distribuciones físicas europeas más reconocibles del título
26,000027,Throne of Darkness,juegos/throne-of-darkness-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
27,000028,Age of Empires,juegos/age-of-empires-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box incluye software || tags: edición española
27,000028,Age of Empires,juegos/age-of-empires-bigbox/,idioma,[],"[""Español""]","descripcion: Esta edición española en formato Big Box incluye software, árbol tecnológico y documentación en castellano, y representa una de las primeras grandes apuestas de Microsoft dentro del mercado de juegos para PC"
27,000028,Age of Empires,juegos/age-of-empires-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
28,000029,Age of Empires: The Rise of Rome,juegos/age-of-empires-rise-of-rome-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box requiere la versión completa de Age of Empires e incluye documentación localizada al castellano || tags: edición española
28,000029,Age of Empires: The Rise of Rome,juegos/age-of-empires-rise-of-rome-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición española en formato Big Box requiere la versión completa de Age of Empires e incluye documentación localizada al castellano
28,000029,Age of Empires: The Rise of Rome,juegos/age-of-empires-rise-of-rome-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
29,000030,Age of Empires. Gold Edition,juegos/age-of-empires-gold-edition-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box representa una de las recopilaciones más reconocidas de la franquicia original y constituye una pieza importante dentro de la preservación histórica de los juegos de estrategia para PC || tags: edición española
29,000030,Age of Empires. Gold Edition,juegos/age-of-empires-gold-edition-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
29,000030,Age of Empires. Gold Edition,juegos/age-of-empires-gold-edition-bigbox/,tipo_edicion,[],"[""Compilación""]",descripcion: Age of Empires Edición Gold es una recopilación que reúne el juego original Age of Empires y su expansión oficial El Auge de Roma en una única edición comercial
30,000031,Age of Empires II: The Age of Kings,juegos/age-of-empires-ii-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box incluye documentación localizada y material adicional como la tabla de atributos de civilizaciones || tags: edición española
30,000031,Age of Empires II: The Age of Kings,juegos/age-of-empires-ii-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
31,000032,Age of Empires II. The Conquerors. Expansion,juegos/age-of-empires-ii-the-conquerors-expansion-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box incluye documentación localizada y representa una de las versiones físicas más reconocidas y preservadas de la saga || tags: edición española
31,000032,Age of Empires II. The Conquerors. Expansion,juegos/age-of-empires-ii-the-conquerors-expansion-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
32,000033,Age of Empires II: Gold Edition,juegos/age-of-empires-ii-edicion-gold-bigbox/,mercado,[],"[""España""]",tags: edición española
32,000033,Age of Empires II: Gold Edition,juegos/age-of-empires-ii-edicion-gold-bigbox/,soporte,[],"[""CD-ROM""]",incluye: 2 CD-ROM
32,000033,Age of Empires II: Gold Edition,juegos/age-of-empires-ii-edicion-gold-bigbox/,tipo_edicion,[],"[""Compilación""]",descripcion: Age of Empires II Edición Gold es una recopilación que incluye Age of Empires II: The Age of Kings y su expansión oficial The Conquerors Expansion en una única edición comercial
33,000034,Age of Mythology,juegos/age-of-mythology-bigbox/,soporte,[],"[""CD-ROM""]",incluye: 2 CD-ROM
34,000035,Maniac Mansion,juegos/maniac-mansion-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Erbe Software en formato Big Box para disquete incluye materiales clásicos de protección y documentación física característicos de las primeras ediciones europeas de finales de los años 80 || tags: edición española
34,000035,Maniac Mansion,juegos/maniac-mansion-bigbox/,soporte,[],"[""Disquete 5,25\""""]","incluye: Disquetes de 5,25"
35,000036,Civilization: Call to Power,juegos/call-to-power-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Proein incluye textos y documentación en castellano y representa una de las grandes producciones de estrategia para PC de finales de los años noventa || tags: edicion española
35,000036,Civilization: Call to Power,juegos/call-to-power-bigbox/,idioma,[],"[""Español""]","descripcion: Esta edición española distribuida por Proein incluye textos y documentación en castellano y representa una de las grandes producciones de estrategia para PC de finales de los años noventa, en plena expansión del mercado Big Box europeo"
35,000036,Civilization: Call to Power,juegos/call-to-power-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
36,000037,Call to Power II,juegos/call-to-power-ii-bigbox/,mercado,[],"[""España""]",descripcion: La edición española distribuida por Proein se comercializó en formato Big Box e incluía versión en CD-ROM para Windows de finales de los años noventa y comienzos de los 2000 || tags: edicion española
36,000037,Call to Power II,juegos/call-to-power-ii-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
37,000038,Darkstone: Evil Reigns,juegos/darkstone-evil-reigns-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
38,000039,Silver,juegos/silver-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box incluye textos y voces en castellano y representa una de las producciones europeas más ambiciosas del periodo de transición entre Windows 95 y Windows 98 || tags: Edición española
38,000039,Silver,juegos/silver-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición española en formato Big Box incluye textos y voces en castellano y representa una de las producciones europeas más ambiciosas del periodo de transición entre Windows 95 y Windows 98
38,000039,Silver,juegos/silver-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
39,000040,Lands of Lore II: Guardians of Destiny,juegos/lands-of-lore-ii-guardians-of-destiny-bigbox/,mercado,[],"[""España""]",tags: Edición española
39,000040,Lands of Lore II: Guardians of Destiny,juegos/lands-of-lore-ii-guardians-of-destiny-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
40,000041,StarCraft,juegos/starcraft-bigbox/,mercado,[],"[""España""]",tags: Edición española
40,000041,StarCraft,juegos/starcraft-bigbox/,idioma,[],"[""Español""]","descripcion: Esta edición física Big Box en castellano incluye doblaje y textos localizados al español, representando una de las distribuciones europeas más reconocibles del título durante finales de los años noventa"
40,000041,StarCraft,juegos/starcraft-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
41,000042,StarCraft: Brood War - Expansion Set,juegos/starcraft-brood-war-expansion-set-bigbox/,mercado,[],"[""España""]",descripcion: La edición española en formato Big Box distribuida por Sierra incluía el juego completo en CD-ROM y material impreso relacionado con las nuevas unidades y árboles tecnológicos de cada raza || tags: Edición española
41,000042,StarCraft: Brood War - Expansion Set,juegos/starcraft-brood-war-expansion-set-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
42,000043,Pool of Radiance,juegos/pool-of-radiance-bigbox/,mercado,[],"[""España""]",descripcion: La edición distribuida en España por Ubisoft incluye presentación en formato Big Box e integra elementos característicos del PC gaming de transición entre finales de los noventa y comienzos de los 2000 || tags: Edicion española
42,000043,Pool of Radiance,juegos/pool-of-radiance-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
43,000044,Pool of Radiance: Ruins of Myth Drannor,juegos/pool-of-radiance-ruins-of-myth-drannor-bigbox/,mercado,[],"[""España""]",tags: Edición española
43,000044,Pool of Radiance: Ruins of Myth Drannor,juegos/pool-of-radiance-ruins-of-myth-drannor-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
43,000044,Pool of Radiance: Ruins of Myth Drannor,juegos/pool-of-radiance-ruins-of-myth-drannor-bigbox/,tipo_edicion,[],"[""Edición coleccionista""]",tags: Edición coleccionista || descripcion: Esta edición coleccionista distribuida por Ubisoft en España incluía diversos extras físicos para coleccionistas y representa uno de los últimos títulos de SSI asociados oficialmente a la licencia clásica de Dungeons & Dragons para PC
44,000045,Broken Sword: La Leyenda de los Templarios,juegos/broken-sword-la-leyenda-de-los-templarios-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española en formato Big Box distribuida por Virgin Interactive incluye textos y documentación localizados al castellano y representa uno de los lanzamientos más emblemáticos de la edad dorada del género point and click en PC Windows || tags: edicion española
44,000045,Broken Sword: La Leyenda de los Templarios,juegos/broken-sword-la-leyenda-de-los-templarios-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición española en formato Big Box distribuida por Virgin Interactive incluye textos y documentación localizados al castellano y representa uno de los lanzamientos más emblemáticos de la edad dorada del género point and click en PC Windows
44,000045,Broken Sword: La Leyenda de los Templarios,juegos/broken-sword-la-leyenda-de-los-templarios-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
45,000046,Broken Sword II: Las Fuerzas del Mal,juegos/broken-sword-ii-las-fuerzas-del-mal-bigbox/,mercado,[],"[""España""]",descripcion: animaciones 2D de alta calidad y doblaje completo al castellano en su edición española || tags: edición española
45,000046,Broken Sword II: Las Fuerzas del Mal,juegos/broken-sword-ii-las-fuerzas-del-mal-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
46,000047,Druuna: Morbus Gravis,juegos/druuna-morbus-gravis-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Baccheera y Microïds incluye doblaje y textos en castellano || tags: edición española
46,000047,Druuna: Morbus Gravis,juegos/druuna-morbus-gravis-bigbox/,idioma,[],"[""Español""]","descripcion: Esta edición española distribuida por Baccheera y Microïds incluye doblaje y textos en castellano, y fue publicada en formato Big Box durante la etapa final del mercado clásico de aventuras gráficas europeas en PC"
46,000047,Druuna: Morbus Gravis,juegos/druuna-morbus-gravis-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
47,000048,Black Crown,juegos/black-crown-bigbox/,soporte,[],"[""Disquete 3,5\""""]","incluye: Disquetes de 3,5"
48,000049,Resident Evil 2,juegos/resident-evil-2-bigbox/,mercado,[],"[""España""]",descripcion: La versión para Windows distribuida en España por Virgin Interactive incluye secuencias FMV || descripcion: Esta edición Big Box española representa una de las distribuciones físicas más reconocibles del survival horror en PC a finales de los años noventa || tags: Edición española
48,000049,Resident Evil 2,juegos/resident-evil-2-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
49,000050,Empire Earth,juegos/empire-earth-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Sierra incluye doblaje y documentación localizada al castellano || tags: edición española
49,000050,Empire Earth,juegos/empire-earth-bigbox/,idioma,[],"[""Español""]","descripcion: Esta edición española distribuida por Sierra incluye doblaje y documentación localizada al castellano, y representa una de las grandes producciones de estrategia para PC de comienzos de los años 2000"
49,000050,Empire Earth,juegos/empire-earth-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
50,000051,Lost Eden,juegos/lost-eden-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
51,000052,Decisive Battles of WWII: The Ardennes Offensive,juegos/decisive-battles-of-wwii-the-ardennes-offensive-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Proein incluye versión localizada al castellano y soporte para Windows 95 || tags: Edición española
51,000052,Decisive Battles of WWII: The Ardennes Offensive,juegos/decisive-battles-of-wwii-the-ardennes-offensive-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición española distribuida por Proein incluye versión localizada al castellano y soporte para Windows 95
51,000052,Decisive Battles of WWII: The Ardennes Offensive,juegos/decisive-battles-of-wwii-the-ardennes-offensive-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
52,000053,Commandos: Behind Enemy Lines,juegos/commandos-behind-enemy-lines-bigbox/,mercado,[],"[""España""]",descripcion: La edición española distribuida por Proein se convirtió en uno de los mayores éxitos internacionales de la industria española del videojuego || tags: Edición española
52,000053,Commandos: Behind Enemy Lines,juegos/commandos-behind-enemy-lines-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
53,000054,Commandos: Más Allá del Deber,juegos/commandos-mas-alla-del-deber-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Proein en formato Big Box incluye una campaña independiente que no requiere el juego original para funcionar || tags: Edición española
53,000054,Commandos: Más Allá del Deber,juegos/commandos-mas-alla-del-deber-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
54,000055,Theme Park World,juegos/theme-park-world-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Electronic Arts incluye traducción y doblaje al castellano || tags: edición española
54,000055,Theme Park World,juegos/theme-park-world-bigbox/,idioma,[],"[""Español""]",tags: doblado al castellano
54,000055,Theme Park World,juegos/theme-park-world-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
55,000056,Duelo de Hechiceros,juegos/duelo-de-hechiceros-bigbox/,mercado,[],"[""España""]",descripcion: Edición española en formato Big Box de Duelo de Hechiceros || tags: edición española
56,000057,Patriot,juegos/patriot-bigbox/,soporte,[],"[""Disquete 3,5\""""]","incluye: Disquetes de 3,5 pulgadas"
57,000058,Death Rally,juegos/death-rally-bigbox/,mercado,[],"[""Europa""]",descripcion: Esta edición física en formato Big Box incluye distribución europea con clasificación por edades y referencia promocional al personaje Duke Nukem
57,000058,Death Rally,juegos/death-rally-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
58,000059,RollerCoaster Tycoon,juegos/rollercoaster-tycoon-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
59,000060,Frankenstein: Through the Eyes of the Monster,juegos/frankenstein-through-the-eyes-of-the-monster-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición distribuida en España por Arcadia Software incluye documentación en castellano y conserva el formato Big Box clásico de PC || tags: Edición española
59,000060,Frankenstein: Through the Eyes of the Monster,juegos/frankenstein-through-the-eyes-of-the-monster-bigbox/,idioma,[],"[""Español""]",descripcion: Esta edición distribuida en España por Arcadia Software incluye documentación en castellano y conserva el formato Big Box clásico de PC
59,000060,Frankenstein: Through the Eyes of the Monster,juegos/frankenstein-through-the-eyes-of-the-monster-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
60,000061,Command & Conquer,juegos/command-and-conquer-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
61,000062,Command & Conquer: Tiberian Sun,juegos/command-and-conquer-tiberian-sun-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española para PC incluye traducción y doblaje al castellano || tags: edición española
61,000062,Command & Conquer: Tiberian Sun,juegos/command-and-conquer-tiberian-sun-bigbox/,idioma,[],"[""Español""]",tags: doblado al castellano
61,000062,Command & Conquer: Tiberian Sun,juegos/command-and-conquer-tiberian-sun-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
62,000063,Command & Conquer: Red Alert,juegos/command-and-conquer-red-alert-bigbox/,mercado,[],"[""España""]",descripcion: Esta edición española distribuida por Virgin Interactive incluye localización parcial al castellano y soporte tanto para MS-DOS como para Windows 95 || tags: Edición española
62,000063,Command & Conquer: Red Alert,juegos/command-and-conquer-red-alert-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
63,000064,Command & Conquer: Red Alert - Counterstrike,juegos/command-and-conquer-red-alert-counterstrike-bigbox/,soporte,[],"[""CD-ROM""]",incluye: CD-ROM
